747.126000000,New Point
747.316000000,New Point
747.518000000,New Point
747.818000000,New Point
748.022000000,New Point
748.362000000,New Point
748.724000000,New Point
748.930000000,New Point
749.278000000,New Point
749.476000000,New Point
749.666000000,New Point
749.980000000,New Point
750.204000000,New Point
750.516000000,New Point
750.874000000,New Point
751.080000000,New Point
3447.924000000,New Point
3448.104000000,New Point
3448.260000000,New Point
3448.572000000,New Point
3448.710000000,New Point
3449.016000000,New Point
3449.346000000,New Point
3449.502000000,New Point
3449.856000000,New Point
3450.018000000,New Point
3450.198000000,New Point
3450.516000000,New Point
3450.660000000,New Point
3450.990000000,New Point
3451.338000000,New Point
3451.524000000,New Point
3456.262000000,New Point
3456.448000000,New Point
3456.610000000,New Point
3456.924000000,New Point
3457.116000000,New Point
3457.380000000,New Point
3457.704000000,New Point
3457.914000000,New Point
3458.194000000,New Point
3458.398000000,New Point
3458.562000000,New Point
3458.850000000,New Point
3459.020000000,New Point
3459.316000000,New Point
3459.640000000,New Point
3459.842000000,New Point
3460.126000000,New Point
3460.314000000,New Point
3460.462000000,New Point
3460.772000000,New Point
3460.958000000,New Point
3461.258000000,New Point
3461.570000000,New Point
3461.764000000,New Point