,Signal,DevName,ID,Date,Session,FileName,FileType,FileSize,RecStart,RecEnd,Duration,FullLoc
0,ECG,585,PC708,2023-02-14 10:07:04,Test,2023-02-14_100704_MS_ECG_585_temp.csv,csv,72314904,2023-02-14 10:07:04.955000,2023-02-14 11:30:23,4998.045,../Data/Movesense/CSV/2023-02-14_100704_MS_ECG_585_temp.csv
1,IMU9,585,PC708,2023-02-14 10:07:04,Test,2023-02-14_100704_MS_IMU9_585_temp.csv,csv,207961542,2023-02-14 10:07:04.966000,2023-02-14 11:30:23,4998.034,../Data/Movesense/CSV/2023-02-14_100704_MS_IMU9_585_temp.csv
2,ECG,545,PC708,2023-02-15 09:41:08,RG,2023-02-15_094108_MS_ECG_545_temp.csv,csv,71501952,2023-02-15 09:41:08.233000,2023-02-15 11:03:40,4951.767,../Data/Movesense/CSV/2023-02-15_094108_MS_ECG_545_temp.csv
3,IMU9,545,PC708,2023-02-15 09:41:08,RG,2023-02-15_094108_MS_IMU9_545_temp.csv,csv,211708277,2023-02-15 09:41:08.037000,2023-02-15 11:03:40,4951.963,../Data/Movesense/CSV/2023-02-15_094108_MS_IMU9_545_temp.csv
4,ECG,577,PC706,2023-02-15 11:58:31,DR,2023-02-15_115831_MS_ECG_577_temp.csv,csv,48383771,2023-02-15 11:58:31.276000,2023-02-15 12:54:20,3348.724,../Data/Movesense/CSV/2023-02-15_115831_MS_ECG_577_temp.csv
5,IMU9,577,PC706,2023-02-15 11:58:31,DR,2023-02-15_115831_MS_IMU9_577_temp.csv,csv,140925260,2023-02-15 11:58:31.365000,2023-02-15 12:54:20,3348.635,../Data/Movesense/CSV/2023-02-15_115831_MS_IMU9_577_temp.csv
6,ECG,587,PC706,2023-02-16 08:42:49,C1,2023-02-16_084249_MS_ECG_587_temp.csv,csv,73024493,2023-02-16 08:42:49.178000,2023-02-16 10:07:12,5062.822,../Data/Movesense/CSV/2023-02-16_084249_MS_ECG_587_temp.csv
7,IMU9,587,PC706,2023-02-16 08:42:49,C1,2023-02-16_084249_MS_IMU9_587_temp.csv,csv,209841639,2023-02-16 08:42:49.158000,2023-02-16 10:07:12,5062.842,../Data/Movesense/CSV/2023-02-16_084249_MS_IMU9_587_temp.csv
8,IMU9,596,PC708,2023-02-16 08:52:46,C1,2023-02-16_085246_MS_IMU9_596_temp.csv,csv,211848689,2023-02-16 08:52:46.072000,2023-02-16 10:15:46,4979.928,../Data/Movesense/CSV/2023-02-16_085246_MS_IMU9_596_temp.csv
9,ECG,596,PC708,2023-02-16 08:52:46,C1,2023-02-16_085246_MS_ECG_596_temp.csv,csv,71945275,2023-02-16 08:52:46.050000,2023-02-16 10:15:46,4979.95,../Data/Movesense/CSV/2023-02-16_085246_MS_ECG_596_temp.csv
10,IMU9,596,PC708,2023-02-16 10:33:34,C2,2023-02-16_103334_MS_IMU9_596_temp.csv,csv,206267086,2023-02-16 10:33:34.998000,2023-02-16 11:54:28,4853.002,../Data/Movesense/CSV/2023-02-16_103334_MS_IMU9_596_temp.csv
11,ECG,596,PC708,2023-02-16 10:33:35,C2,2023-02-16_103335_MS_ECG_596_temp.csv,csv,69755585,2023-02-16 10:33:35.215000,2023-02-16 11:54:28,4852.785,../Data/Movesense/CSV/2023-02-16_103335_MS_ECG_596_temp.csv
12,ECG,620,PC708,2023-02-17 08:45:33,C3,2023-02-17_084533_MS_ECG_620_temp.csv,csv,47830517,2023-02-17 08:45:33.289000,2023-02-17 09:40:37,3303.711,../Data/Movesense/CSV/2023-02-17_084533_MS_ECG_620_temp.csv
13,IMU9,620,PC708,2023-02-17 08:45:33,C3,2023-02-17_084533_MS_IMU9_620_temp.csv,csv,139890084,2023-02-17 08:45:33.388000,2023-02-17 09:40:37,3303.612,../Data/Movesense/CSV/2023-02-17_084533_MS_IMU9_620_temp.csv
14,ECG,537,PC706,2023-02-17 08:59:13,C3C4,2023-02-17_085913_MS_ECG_537_temp.csv,csv,274937570,2023-02-17 08:59:13.462000,2023-02-17 14:16:18,19024.538,../Data/Movesense/CSV/2023-02-17_085913_MS_ECG_537_temp.csv
15,IMU9,537,PC706,2023-02-17 08:59:13,C3C4,2023-02-17_085913_MS_IMU9_537_temp.csv,csv,406625698,2023-02-17 08:59:13.646000,2023-02-17 14:16:18,19024.354,../Data/Movesense/CSV/2023-02-17_085913_MS_IMU9_537_temp.csv
16,ECG,620,PC708,2023-02-17 10:25:59,C4,2023-02-17_102559_MS_ECG_620_temp.csv,csv,77558439,2023-02-17 10:25:59.619000,2023-02-17 11:55:48,5388.381,../Data/Movesense/CSV/2023-02-17_102559_MS_ECG_620_temp.csv
17,IMU9,620,PC708,2023-02-17 10:25:59,C4,2023-02-17_102559_MS_IMU9_620_temp.csv,csv,228739033,2023-02-17 10:25:59.624000,2023-02-17 11:55:48,5388.376,../Data/Movesense/CSV/2023-02-17_102559_MS_IMU9_620_temp.csv
18,IMU9,510,PC708,2023-02-18 15:11:20,C5,2023-02-18_151120_MS_IMU9_510_temp.csv,csv,176791149,2023-02-18 15:11:20.922000,2023-02-18 16:20:58,4177.078,../Data/Movesense/CSV/2023-02-18_151120_MS_IMU9_510_temp.csv
19,ECG,510,PC708,2023-02-18 15:11:21,C5,2023-02-18_151121_MS_ECG_510_temp.csv,csv,60368874,2023-02-18 15:11:21.080000,2023-02-18 16:20:58,4176.92,../Data/Movesense/CSV/2023-02-18_151121_MS_ECG_510_temp.csv